nurse_id,role,date,day_index,shift_type,hours,premium_pct,cost_dkk
N002,RN,2025-09-29,1,Day,8.0,0.0,1436.56
N011,RN,2025-09-29,1,Day,8.0,0.0,1379.84
N012,RN,2025-09-29,1,Day,8.0,0.0,1397.12
N018,RN,2025-09-29,1,Day,8.0,0.0,1397.12
N019,RN,2025-09-29,1,Day,8.0,0.0,1537.28
N021,RN,2025-09-29,1,Day,8.0,0.0,1477.68
N027,SoSu,2025-09-29,1,Day,8.0,0.0,1270.4
N030,RN,2025-09-29,1,Day,8.0,0.0,1461.2
N001,SoSu,2025-09-29,1,Evening,8.0,20.0,1396.416
N009,SoSu,2025-09-29,1,Evening,8.0,20.0,1442.304
N016,RN,2025-09-29,1,Evening,8.0,20.0,1587.84
N017,RN,2025-09-29,1,Evening,8.0,20.0,1605.6
N020,RN,2025-09-29,1,Evening,8.0,20.0,1646.9759999999999
N010,RN,2025-09-29,1,Night,8.0,32.8125,2125.53125
N022,RN,2025-09-29,1,Night,8.0,32.8125,1731.1312500000001
N024,SoSu,2025-09-29,1,Night,8.0,32.8125,1506.1999999999998
N002,RN,2025-09-30,2,Day,8.0,0.0,1436.56
N008,RN,2025-09-30,2,Day,8.0,0.0,1533.76
N011,RN,2025-09-30,2,Day,8.0,0.0,1379.84
N023,RN,2025-09-30,2,Day,8.0,0.0,1451.28
N025,RN,2025-09-30,2,Day,8.0,0.0,1463.6
N026,RN,2025-09-30,2,Day,8.0,0.0,1632.0
N028,RN,2025-09-30,2,Day,8.0,0.0,1458.72
N030,RN,2025-09-30,2,Day,8.0,0.0,1461.2
N005,SoSu,2025-09-30,2,Evening,8.0,20.0,1333.2479999999998
N009,SoSu,2025-09-30,2,Evening,8.0,20.0,1442.304
N016,RN,2025-09-30,2,Evening,8.0,20.0,1587.84
N017,RN,2025-09-30,2,Evening,8.0,20.0,1605.6
N020,RN,2025-09-30,2,Evening,8.0,20.0,1646.9759999999999
N001,SoSu,2025-09-30,2,Night,8.0,32.8125,1545.5125
N019,RN,2025-09-30,2,Night,8.0,32.8125,2041.7
N022,RN,2025-09-30,2,Night,8.0,32.8125,1731.1312500000001
N002,RN,2025-10-01,3,Day,8.0,0.0,1436.56
N010,RN,2025-10-01,3,Day,8.0,0.0,1600.4
N011,RN,2025-10-01,3,Day,8.0,0.0,1379.84
N012,RN,2025-10-01,3,Day,8.0,0.0,1397.12
N026,RN,2025-10-01,3,Day,8.0,0.0,1632.0
N027,SoSu,2025-10-01,3,Day,8.0,0.0,1270.4
N028,RN,2025-10-01,3,Day,8.0,0.0,1458.72
N030,RN,2025-10-01,3,Day,8.0,0.0,1461.2
N005,SoSu,2025-10-01,3,Evening,8.0,20.0,1333.2479999999998
N009,SoSu,2025-10-01,3,Evening,8.0,20.0,1442.304
N014,RN,2025-10-01,3,Evening,8.0,20.0,1638.048
N016,RN,2025-10-01,3,Evening,8.0,20.0,1587.84
N020,RN,2025-10-01,3,Evening,8.0,20.0,1646.9759999999999
N021,RN,2025-10-01,3,Night,8.0,32.8125,1962.54375
N022,RN,2025-10-01,3,Night,8.0,32.8125,1731.1312500000001
N024,SoSu,2025-10-01,3,Night,8.0,32.8125,1506.1999999999998
N008,RN,2025-10-02,4,Day,8.0,0.0,1533.76
N010,RN,2025-10-02,4,Day,8.0,0.0,1600.4
N012,RN,2025-10-02,4,Day,8.0,0.0,1397.12
N019,RN,2025-10-02,4,Day,8.0,0.0,1537.28
N023,RN,2025-10-02,4,Day,8.0,0.0,1451.28
N027,SoSu,2025-10-02,4,Day,8.0,0.0,1270.4
N028,RN,2025-10-02,4,Day,8.0,0.0,1458.72
N030,RN,2025-10-02,4,Day,8.0,0.0,1461.2
N001,SoSu,2025-10-02,4,Evening,8.0,20.0,1396.416
N003,RN,2025-10-02,4,Evening,8.0,20.0,1646.9759999999999
N005,SoSu,2025-10-02,4,Evening,8.0,20.0,1333.2479999999998
N016,RN,2025-10-02,4,Evening,8.0,20.0,1587.84
N017,RN,2025-10-02,4,Evening,8.0,20.0,1605.6
N013,RN,2025-10-02,4,Night,8.0,32.8125,2069.6437499999997
N021,RN,2025-10-02,4,Night,8.0,32.8125,1962.54375
N024,SoSu,2025-10-02,4,Night,8.0,32.8125,1506.1999999999998
N002,RN,2025-10-03,5,Day,8.0,0.0,1436.56
N010,RN,2025-10-03,5,Day,8.0,0.0,1600.4
N011,RN,2025-10-03,5,Day,8.0,0.0,1379.84
N018,RN,2025-10-03,5,Day,8.0,0.0,1397.12
N023,RN,2025-10-03,5,Day,8.0,0.0,1451.28
N025,RN,2025-10-03,5,Day,8.0,0.0,1463.6
N027,SoSu,2025-10-03,5,Day,8.0,0.0,1270.4
N030,RN,2025-10-03,5,Day,8.0,0.0,1461.2
N001,SoSu,2025-10-03,5,Evening,8.0,20.0,1396.416
N009,SoSu,2025-10-03,5,Evening,8.0,20.0,1442.304
N017,RN,2025-10-03,5,Evening,8.0,20.0,1605.6
N020,RN,2025-10-03,5,Evening,8.0,20.0,1646.9759999999999
N022,RN,2025-10-03,5,Evening,8.0,20.0,1564.128
N005,SoSu,2025-10-03,5,Night,8.0,32.8125,1475.6
N019,RN,2025-10-03,5,Night,8.0,32.8125,2041.7
N021,RN,2025-10-03,5,Night,8.0,32.8125,1962.54375
N003,RN,2025-10-04,6,Day,8.0,47.0,2017.5456
N004,SoSu,2025-10-04,6,Day,8.0,47.0,1613.3544
N006,RN,2025-10-04,6,Day,8.0,47.0,1977.6791999999998
N007,RN,2025-10-04,6,Day,8.0,47.0,1937.8128
N011,RN,2025-10-04,6,Day,8.0,47.0,2028.3647999999998
N015,RN,2025-10-04,6,Day,8.0,47.0,1948.7496
N016,RN,2025-10-04,6,Day,8.0,47.0,1945.104
N024,SoSu,2025-10-04,6,Day,8.0,47.0,1667.0975999999998
N001,SoSu,2025-10-04,6,Evening,8.0,47.0,1710.6096
N009,SoSu,2025-10-04,6,Evening,8.0,47.0,1766.8224
N017,RN,2025-10-04,6,Evening,8.0,47.0,1966.86
N022,RN,2025-10-04,6,Evening,8.0,47.0,1916.0568
N029,RN,2025-10-04,6,Evening,8.0,47.0,1901.5919999999999
N012,RN,2025-10-04,6,Night,8.0,47.0,2053.7664
N018,RN,2025-10-04,6,Night,8.0,47.0,2053.7664
N020,RN,2025-10-04,6,Night,8.0,47.0,2017.5456
N005,SoSu,2025-10-05,7,Day,8.0,47.0,1633.2287999999999
N006,RN,2025-10-05,7,Day,8.0,47.0,1977.6791999999998
N007,RN,2025-10-05,7,Day,8.0,47.0,1937.8128
N014,RN,2025-10-05,7,Day,8.0,47.0,2006.6088
N015,RN,2025-10-05,7,Day,8.0,47.0,1948.7496
