nurse_id,role,date,day_index,shift_type,hours,premium_pct,cost_dkk
N009,SoSu,2024-12-30,1,Day,8.0,0.0,1201.92
N010,RN,2024-12-30,1,Day,8.0,0.0,1600.4
N019,RN,2024-12-30,1,Day,8.0,0.0,1537.28
N021,RN,2024-12-30,1,Day,8.0,0.0,1477.68
N024,SoSu,2024-12-30,1,Day,8.0,0.0,1134.08
N027,SoSu,2024-12-30,1,Day,8.0,0.0,1270.4
N028,RN,2024-12-30,1,Day,8.0,0.0,1458.72
N030,RN,2024-12-30,1,Day,8.0,0.0,1461.2
N012,SoSu,2024-12-30,1,Evening,8.0,20.0,1307.8079999999998
N016,RN,2024-12-30,1,Evening,8.0,20.0,1587.84
N017,RN,2024-12-30,1,Evening,8.0,20.0,1605.6
N020,SoSu,2024-12-30,1,Evening,8.0,20.0,1284.768
N023,RN,2024-12-30,1,Evening,8.0,20.0,1741.5359999999998
N011,SoSu,2024-12-30,1,Night,8.0,32.8125,1429.5937500000002
N013,RN,2024-12-30,1,Night,8.0,32.8125,2069.6437499999997
N022,RN,2024-12-30,1,Night,8.0,32.8125,1731.1312500000001
N008,SoSu,2024-12-31,2,Day,8.0,0.0,1196.48
N009,SoSu,2024-12-31,2,Day,8.0,0.0,1201.92
N010,RN,2024-12-31,2,Day,8.0,0.0,1600.4
N019,RN,2024-12-31,2,Day,8.0,0.0,1537.28
N021,RN,2024-12-31,2,Day,8.0,0.0,1477.68
N026,RN,2024-12-31,2,Day,8.0,0.0,1632.0
N027,SoSu,2024-12-31,2,Day,8.0,0.0,1270.4
N030,RN,2024-12-31,2,Day,8.0,0.0,1461.2
N002,RN,2024-12-31,2,Evening,8.0,20.0,1723.8719999999998
N005,SoSu,2024-12-31,2,Evening,8.0,20.0,1333.2479999999998
N014,RN,2024-12-31,2,Evening,8.0,20.0,1638.048
N017,RN,2024-12-31,2,Evening,8.0,20.0,1605.6
N024,SoSu,2024-12-31,2,Evening,8.0,20.0,1360.896
N001,SoSu,2024-12-31,2,Night,8.0,32.8125,1545.5125
N013,RN,2024-12-31,2,Night,8.0,32.8125,2069.6437499999997
N029,RN,2024-12-31,2,Night,8.0,32.8125,1718.0624999999998
N003,RN,2025-01-01,3,Day,8.0,50.0,2058.7200000000003
N007,RN,2025-01-01,3,Day,8.0,50.0,1977.3600000000001
N011,SoSu,2025-01-01,3,Day,8.0,50.0,1614.6000000000001
N012,SoSu,2025-01-01,3,Day,8.0,50.0,1634.7599999999998
N016,RN,2025-01-01,3,Day,8.0,50.0,1984.8000000000002
N018,RN,2025-01-01,3,Day,8.0,50.0,2095.68
N020,SoSu,2025-01-01,3,Day,8.0,50.0,1605.96
N022,RN,2025-01-01,3,Day,8.0,50.0,1955.16
N002,RN,2025-01-01,3,Evening,8.0,50.0,2154.84
N006,SoSu,2025-01-01,3,Evening,8.0,50.0,1574.28
N014,RN,2025-01-01,3,Evening,8.0,50.0,2047.56
N015,SoSu,2025-01-01,3,Evening,8.0,50.0,1551.2400000000002
N017,RN,2025-01-01,3,Evening,8.0,50.0,2007.0
N004,SoSu,2025-01-01,3,Night,8.0,50.0,1646.28
N023,RN,2025-01-01,3,Night,8.0,50.0,2176.92
